Nombre,Variedad,Precio,Volumen,Graduacion,Productor,Pais,Etiqueta,Notas De Cata,Url,Calorias,Proteinas,Grasa,Hidratos De Carbono,Azucar,Sal
KÃ¶nig & Krieger Cabernet Sauvignon â Vino Tinto Sin Alcohol,Vino Rosado Sin Alcohol,6.86,75,"<0,5%",Oddbird International (Suecia),Suecia,Cabernet Sauvignon,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"79,9","0,3","0,0","4,7","3,7"," <0,1 g"
KÃ¶nig & Krieger Riesling â Vino Blanco Sin Alcohol,Vino Rosado Sin Alcohol,6.86,75,"<0,5%",Oddbird International (Suecia),Suecia,Riesling,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"80,3","0,0","0,0","4,5","3,8"," <0,1 g"
KÃ¶nig & Krieger Sauvignon Blanc â Vino Blanco Sin Alcohol,Vino Rosado Sin Alcohol,6.86,75,"<0,5%",Oddbird International (Suecia),Suecia,No Disponible,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,80,"0,3","0,0","4,5","3,8"," <0,1 g"
Pierre ZÃ©ro Signature Blanco â Vino Sin Alcohol Bio,Vino Rosado Sin Alcohol,6.86,75,"<0,5%",Oddbird International (Suecia),Suecia,"Bajo o Sin CalorÃ­as, Chardonnay, OrgÃ¡nico / EcolÃ³gico","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,80,"0,0","0,0",4,4,"<0,2 g"
Oddbird Low Intervention Organic White NÂº1 â Vino Blanco sin Alcohol,Vino Rosado Sin Alcohol,6.86,75,0%,Oddbird International (Suecia),Suecia,"Bajo o Sin CalorÃ­as, OrgÃ¡nico / EcolÃ³gico, Sin saborizantes","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"18,3","0,0","0,0",4,4,"<0,1 g"
Alternativa 0.0 Rosado â Vino Sin Alcohol,Vino Rosado Sin Alcohol,6.86,75,"0,0%",Princess (Italia),Italia,"Bajo o Sin CalorÃ­as, Natural, Sin saborizantes","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,12,"0,1",1,19,4,"<0,1 g"
Kolonne Null Riesling â Vino Blanco Sin Alcohol,Vino Rosado Sin Alcohol,6.86,75,"0,3%",Kolonne Null (Alemania),Alemania,"Bajo o Sin CalorÃ­as, Exclusivo Blue Dolphin, Riesling, Sin gluten, Vegano","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"8,1","0,0","0,0","2,9","2,9",0 g
Pierre ZÃ©ro Signature Tinto â Vino Sin Alcohol Bio,Vino Rosado Sin Alcohol,6.86,75,"<0,5%",Kolonne Null (Alemania),Alemania,"Bajo o Sin CalorÃ­as, Garnacha, OrgÃ¡nico / EcolÃ³gico","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,80,"0,0","0,0",4,4,"<0,2 g"
"Aldea 0,0 Blanco â Vino Sin Alcohol Blanco",Vino Rosado Sin Alcohol,6.86,75,"0,0%",Producto de Aldea (Galicia-EspaÃ±a),Galicia-EspaÃ±a,Verdejo,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"18,5","0,2","0,5","3,0","2,4","0,01 g"
"Aldea 0,0 Rosado â Vino Sin Alcohol",Vino Rosado Sin Alcohol,6.86,75,"0,0%",Producto de Aldea (Galicia-EspaÃ±a),Galicia-EspaÃ±a,Tempranillo,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"18,5","0,2","0,5","3,0","2,4","0,01 g"
